currency,description,displaySymbol,figi,mic,symbol,type
USD,FACEBOOK INC-CLASS A,FB,BBG000MM2P62,XNAS,FB,Common Stock
USD,ALPHABET INC-CL A,GOOGL,BBG009S39JX6,XNAS,GOOGL,Common Stock
USD,APPLE INC,AAPL,BBG000B9XRY4,XNAS,AAPL,Common Stock
USD,MACROGENICS INC,MGNX,BBG000BM2SF8,XNAS,MGNX,Common Stock
USD,SKYWORKS SOLUTIONS INC,SWKS,BBG000KLB4Q1,XNAS,SWKS,Common Stock
USD,FULTON FINANCIAL CORP,FULT,BBG000BJZM26,XNAS,FULT,Common Stock
USD,IAC/INTERACTIVECORP,IAC,BBG00S1LR2C3,XNAS,IAC,Common Stock
USD,MEI PHARMA INC,MEIP,BBG000BSGT68,XNAS,MEIP,Common Stock
USD,OVID THERAPEUTICS INC,OVID,BBG009F0TD76,XNAS,OVID,Common Stock
USD,SCIENTIFIC GAMES CORP,SGMS,BBG00JR5MM31,XNAS,SGMS,Common Stock
USD,GOLAR LNG LTD,GLNG,BBG000K14TT5,XNAS,GLNG,Common Stock
USD,ATHERSYS INC,ATHX,BBG000QBZBS3,XNAS,ATHX,Common Stock
USD,ALIGN TECHNOLOGY INC,ALGN,BBG000BRNLL2,XNAS,ALGN,Common Stock
USD,DIGITAL TURBINE INC,APPS,BBG000HZ3562,XNAS,APPS,Common Stock
USD,REDFIN CORP,RDFN,BBG001Q7HP63,XNAS,RDFN,Common Stock
USD,AFFIMED NV,AFMD,BBG006R5SSH5,XNAS,AFMD,Common Stock
USD,REALREAL INC/THE,REAL,BBG004FPDNZ6,XNAS,REAL,Common Stock
USD,RIGEL PHARMACEUTICALS INC,RIGL,BBG000BPWTW7,XNAS,RIGL,Common Stock
USD,PUMA BIOTECHNOLOGY INC,PBYI,BBG0018YXYX7,XNAS,PBYI,Common Stock
USD,ZIX CORP,ZIXI,BBG000H04C72,XNAS,ZIXI,Common Stock
USD,EXELON CORP,EXC,BBG000J6XT05,XNAS,EXC,Common Stock
USD,IMMUNOGEN INC,IMGN,BBG000C2JTB5,XNAS,IMGN,Common Stock
USD,PDC ENERGY INC,PDCE,BBG000BR1KR2,XNAS,PDCE,Common Stock
USD,URBAN OUTFITTERS INC,URBN,BBG000BL79J3,XNAS,URBN,Common Stock
USD,NOVOCURE LTD,NVCR,BBG009XW8PY2,XNAS,NVCR,Common Stock
USD,CHAMPIONX CORP,CHX,BBG00JH9TZ56,XNAS,CHX,Common Stock
USD,SONOS INC,SONO,BBG001JZPSQ2,XNAS,SONO,Common Stock
USD,NAVIENT CORP,NAVI,BBG004MN1R41,XNAS,NAVI,Common Stock
USD,BLOOMIN' BRANDS INC,BLMN,BBG002VZ68Y2,XNAS,BLMN,Common Stock
USD,GREENSKY INC-CLASS A,GSKY,BBG00KT2SCV8,XNAS,GSKY,Common Stock
USD,LAM RESEARCH CORP,LRCX,BBG000BNFLM9,XNAS,LRCX,Common Stock
USD,GENTEX CORP,GNTX,BBG000BKJ092,XNAS,GNTX,Common Stock
USD,WORKHORSE GROUP INC,WKHS,BBG000BDPB15,XNAS,WKHS,Common Stock
USD,PELOTON INTERACTIVE INC-A,PTON,BBG00JG0FFZ2,XNAS,PTON,Common Stock
USD,INTERCEPT PHARMACEUTICALS IN,ICPT,BBG001J1QN87,XNAS,ICPT,Common Stock
USD,KADMON HOLDINGS INC,KDMN,BBG00B9P9V84,XNAS,KDMN,Common Stock
USD,ATARA BIOTHERAPEUTICS INC,ATRA,BBG005Q3MQY4,XNAS,ATRA,Common Stock
USD,CERENCE INC,CRNC,BBG00MMDJG84,XNAS,CRNC,Common Stock
USD,BROADCOM INC,AVGO,BBG00KHY5S69,XNAS,AVGO,Common Stock
USD,STRATASYS LTD,SSYS,BBG002S5ZRF9,XNAS,SSYS,Common Stock
USD,PROVENTION BIO INC,PRVB,BBG00H1L1L88,XNAS,PRVB,Common Stock
USD,DENNY'S CORP,DENN,BBG000BC09P3,XNAS,DENN,Common Stock
USD,CARPARTS.COM INC,PRTS,BBG000N26V95,XNAS,PRTS,Common Stock
USD,SLM CORP,SLM,BBG000BBCQD7,XNAS,SLM,Common Stock
USD,DOCUSIGN INC,DOCU,BBG000N7KJX8,XNAS,DOCU,Common Stock
USD,XCEL ENERGY INC,XEL,BBG000BCTQ65,XNAS,XEL,Common Stock
USD,ADVERUM BIOTECHNOLOGIES INC,ADVM,BBG006D9MR17,XNAS,ADVM,Common Stock
USD,COMPUGEN LTD,CGEN,BBG000B9ZLB0,XNAS,CGEN,Common Stock
USD,BIOMARIN PHARMACEUTICAL INC,BMRN,BBG000CZWZ05,XNAS,BMRN,Common Stock
USD,LAUREATE EDUCATION INC-A,LAUR,BBG00B4Z2YX0,XNAS,LAUR,Common Stock
USD,FISERV INC,FISV,BBG000BJKPG0,XNAS,FISV,Common Stock
USD,CLEAN ENERGY FUELS CORP,CLNE,BBG000J5J943,XNAS,CLNE,Common Stock
USD,COHERUS BIOSCIENCES INC,CHRS,BBG0063N8V69,XNAS,CHRS,Common Stock
USD,MATCH GROUP INC,MTCH,BBG00VT0KNC3,XNAS,MTCH,Common Stock
